Generated by Fabric Compiler ( version 2022.1 <build 99559> ) at Fri Nov  8 20:59:15 2024

Number of unique control sets : 351
  CLK(pix_clk)                                     : 9
  CLK(rgmii_clk_0)                                 : 9
  CLK(rgmii_clk_1)                                 : 9
  CLK(ddr_ip_clk)                                  : 19
  CLK(nt_da_clk)                                   : 22
  CLK(cfg_clk)                                     : 47
  CLK(nt_pixclk_in)                                : 173
  CLK(nt_sys_clk)                                  : 1176
  CLK(cfg_clk), CE(ms72xx_ctl.iic_dri_rx.start)    : 2
  CLK(cfg_clk), CE(ms72xx_ctl.iic_dri_tx.start)    : 2
  CLK(nt_sys_clk), CE(fft_top_inst.u_fft_wrapper.use_radix2_burst.u_radix2_burst_core.r2_dit_ctrl.N404)  : 3
  CLK(cfg_clk), CE(ms72xx_ctl.iic_dri_rx.twr_en)   : 4
  CLK(cfg_clk), CE(ms72xx_ctl.iic_dri_tx.twr_en)   : 4
  CLK(nt_sys_clk), CE(fft_top_inst.u_fft_wrapper.use_radix2_burst.u_radix2_burst_core.r2_dit_ctrl.N444)  : 6
  CLK(nt_sys_clk), CE(fft_top_inst.u_fft_wrapper.use_radix2_burst.u_radix2_burst_core.r2_dit_ctrl.N468)  : 7
  CLK(nt_sys_clk), CE(fft_top_inst.u_fft_wrapper.use_radix2_burst.u_radix2_burst_core.r2_dit_ctrl.bfcnt_en_c1)       : 7
  CLK(rgmii_clk_1), CE(udp_tx_top_revised_inst.udp_inst.u_udp_tx_image.N926)     : 7
  CLK(cfg_clk), CE(ms72xx_ctl.iic_dri_rx.N165)     : 8
  CLK(cfg_clk), CE(ms72xx_ctl.iic_dri_rx.N460)     : 8
  CLK(cfg_clk), CE(ms72xx_ctl.iic_dri_tx.N165)     : 8
  CLK(cfg_clk), CE(ms72xx_ctl.iic_dri_tx.N460)     : 8
  CLK(nt_sys_clk), CE(fft_top_inst.u_fft_wrapper.use_radix2_burst.u_burst_input_ctrl.N95)    : 8
  CLK(nt_sys_clk), CE(fft_top_inst.u_fft_wrapper.use_radix2_burst.u_radix2_burst_core.r2_dit_ctrl.N518)  : 8
  CLK(nt_sys_clk), CE(uart_rx1.N171)               : 8
  CLK(nt_sys_clk), CE(uart_rx1.rx_state_3)         : 8
  CLK(nt_da_clk), CE(nt_sys_rst_n)                 : 10
  CLK(pix_clk), CE(hdmi_test1_inst.pattern_vg_revised_inst.N76)      : 10
  CLK(rgmii_clk_0), CE(udp_rec_top_inst.u_udp.u_udp_tx.N1659)  : 16
  CLK(rgmii_clk_1), CE(udp_tx_top_revised_inst.u_udp.u_udp_tx.N1659)       : 16
  CLK(rgmii_clk_1), CE(udp_tx_top_revised_inst.udp_inst.u_udp_tx_image.N1703)    : 16
  CLK(nt_pixclk_in), CE(N4326)                     : 26
  CLK(cfg_clk), CE(ms72xx_ctl.ms7200_ctl.N8)       : 32
  CLK(I_ipsxb_ddr_top.ioclk_gate_clk), P(~I_ipsxb_ddr_top.ddr_rstn)  : 1
  CLK(cfg_clk), C(~nt_rstn_out)                    : 1
  CLK(I_ipsxb_ddr_top.pll_clkin), C(~ddr_ip_rst_n)       : 2
  CLK(ddr_ip_clk), P(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_reset_ctrl.ddrphy_dll_rst_rg)       : 2
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_reset_ctrl.ddrphy_rst_n_rg)  : 2
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.logic_rstn)       : 2
  CLK(I_ipsxb_ddr_top.pll_clkin), CP(~I_ipsxb_ddr_top.ddr_rstn)      : 11
      CLK(I_ipsxb_ddr_top.pll_clkin), C(~I_ipsxb_ddr_top.ddr_rstn)   : 8
      CLK(I_ipsxb_ddr_top.pll_clkin), P(~I_ipsxb_ddr_top.ddr_rstn)   : 3
  CLK(I_ipsxb_ddr_top.pll_clkin), C(~I_ipsxb_ddr_top.u_ddrphy_top.logic_rstn)    : 16
  CLK(adnet_data_clk), C(~nt_sys_rst_n)            : 22
  CLK(rgmii_clk_0), CP(~nt_sys_rst_n)              : 22
      CLK(rgmii_clk_0), C(~nt_sys_rst_n)           : 20
      CLK(rgmii_clk_0), P(~nt_sys_rst_n)           : 2
  CLK(nt_da_clk), C(~nt_sys_rst_n)                 : 23
  CLK(nt_pixclk_in), C(eth0_img_pkt.pos_vsync)     : 35
  CLK(nt_pixclk_in), C(~nt_sys_rst_n)              : 40
  CLK(rgmii_clk_1), CP(~nt_sys_rst_n)              : 44
      CLK(rgmii_clk_1), C(~nt_sys_rst_n)           : 41
      CLK(rgmii_clk_1), P(~nt_sys_rst_n)           : 3
  CLK(rgmii_clk_1), CP(eth0_img_pkt.pos_vsync)           : 46
      CLK(rgmii_clk_1), C(eth0_img_pkt.pos_vsync)  : 45
      CLK(rgmii_clk_1), P(eth0_img_pkt.pos_vsync)  : 1
  CLK(nt_pixclk_in), CP(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_read_ddr_fifo.rd_rst)       : 112
      CLK(nt_pixclk_in), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_read_ddr_fifo.rd_rst)    : 108
      CLK(nt_pixclk_in), P(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_read_ddr_fifo.rd_rst)    : 4
  CLK(nt_pixclk_in), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_write_ddr_fifo.rd_rst)       : 112
  CLK(ddr_ip_clk), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_read_ddr_fifo.rd_rst)    : 148
  CLK(ddr_ip_clk), CP(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_write_ddr_fifo.rd_rst)        : 148
      CLK(ddr_ip_clk), C(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_write_ddr_fifo.rd_rst)     : 144
      CLK(ddr_ip_clk), P(user_axi_m_arbitration.user_rw_fifo_ctrl0.user_write_ddr_fifo.rd_rst)     : 4
  CLK(nt_sys_clk), CP(~nt_sys_rst_n)               : 204
      CLK(nt_sys_clk), C(~nt_sys_rst_n)            : 203
      CLK(nt_sys_clk), P(~nt_sys_rst_n)            : 1
  CLK(ddr_ip_clk), CP(~I_ipsxb_ddr_top.ddr_rstn)         : 979
      CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn)      : 937
      CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.ddr_rstn)      : 42
  CLK(ddr_ip_clk), CP(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n)          : 1696
      CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n)       : 1645
      CLK(ddr_ip_clk), P(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n)       : 51
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.calib_done)  : 1
  CLK(nt_sys_clk), C(~nt_sys_rst_n), CE(N4660)     : 1
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_bm.N201)  : 2
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_bm.N252)  : 2
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_back_ctrl.norm_cmd_l_act)   : 2
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_ui_axi.mcdq_reg_fifo2.fifo_read)       : 2
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_wdatapath.rd_en)     : 2
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_training_ctrl.N18)      : 2
  CLK(rgmii_clk_0), C(~nt_sys_rst_n), CE(udp_rec_top_inst.u_udp.u_udp_tx.N907)   : 2
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.u_udp.u_udp_tx.N907)  : 2
  CLK(rgmii_clk_1), C(~nt_sys_rst_n), CE(udp_tx_top_revised_inst.udp_inst.u_udp_tx_image.N933)     : 2
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dfi.N1792)     : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dfi.N750)      : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_calib_top.ddrphy_init.N285)   : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_calib_top.rdcal.rdcal_state_2)      : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[0].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N538)  : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[1].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N538)  : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[2].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N538)  : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.i_dqs_group[3].u_ddrphy_data_slice.data_slice_dqs_gate_cal.gatecal.N538)  : 3
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_rst_n), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_slice_top.wrlvl_ck_dly_done)  : 3
  CLK(I_ipsxb_ddr_top.pll_clkin), CP(~I_ipsxb_ddr_top.u_ddrphy_top.logic_rstn), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_dll_update_ctrl.N95)        : 4
      CLK(I_ipsxb_ddr_top.pll_clkin), C(~I_ipsxb_ddr_top.u_ddrphy_top.logic_rstn), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_dll_update_ctrl.N95)     : 3
      CLK(I_ipsxb_ddr_top.pll_clkin), P(~I_ipsxb_ddr_top.u_ddrphy_top.logic_rstn), CE(I_ipsxb_ddr_top.u_ddrphy_top.ddrphy_dll_update_ctrl.N95)     : 1
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcd_top.mcdq_dcd_sm.N418)  : 4
  CLK(ddr_ip_clk), C(~I_ipsxb_ddr_top.ddr_rstn), CE(I_ipsxb_ddr_top.u_ipsxb_ddrc_top.mcdq_dcp_top.mcdq_dcp_back_ctrl.tfaw_timing.TFAW_LOOP[0].mcdq_tfaw.N19)   : 4
